"Run 1: Time (s)","Run 1: Illumination (lux)","Run 2: Time (s)","Run 2: Illumination (lux)","Run 3: Time (s)","Run 3: Illumination (lux)","Run 4: Time (s)","Run 4: Illumination (lux)","Run 5: Time (s)","Run 5: Illumination (lux)","Run 6: Time (s)","Run 6: Illumination (lux)"
0.616642,5384.70428467,0.616642,5384.70428467,0.616642,5386.76971436,0.616642,5384.70428467,0.616642,5263.74755859,0.616642,4601.13189697
0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5257.55126953,0.633308,4588.73931885
0.649974,5384.70428467,0.649974,5386.76971436,0.649974,5384.70428467,0.649974,5384.70428467,0.649974,5259.61669922,0.649974,4590.80474854
0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5253.42041016,0.66664,4590.80474854
0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5247.22412109,0.683306,4580.60668945
0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5241.15692139,0.699972,4558.01605225
0.716638,5384.70428467,0.716638,5384.70428467,0.716638,5386.76971436,0.716638,5384.70428467,0.716638,5249.28955078,0.716638,4597.0010376
0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5239.0914917,0.733304,4601.13189697
0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5239.0914917,0.74997,4580.60668945
0.766636,5384.70428467,0.766636,5384.70428467,0.766636,5384.70428467,0.766636,5384.70428467,0.766636,5247.22412109,0.766636,4594.93560791
0.783302,5384.70428467,0.783302,5384.70428467,0.783302,5384.70428467,0.783302,5384.70428467,0.783302,5234.96063232,0.783302,4623.59344482
0.799968,5384.70428467,0.799968,5386.76971436,0.799968,5384.70428467,0.799968,5384.70428467,0.799968,5237.02606201,0.799968,4631.85516357
0.816634,5384.70428467,0.816634,5384.70428467,0.816634,5384.70428467,0.816634,5384.70428467,0.816634,5237.02606201,0.816634,4605.13366699
0.8333,5384.70428467,0.8333,5384.70428467,0.8333,5386.76971436,0.8333,5384.70428467,0.8333,5241.15692139,0.8333,4570.27954102
0.849966,5384.70428467,0.849966,5384.70428467,0.849966,5384.70428467,0.849966,5384.70428467,0.849966,5232.89520264,0.849966,4547.68890381
0.866632,5384.70428467,0.866632,5384.70428467,0.866632,5384.70428467,0.866632,5384.70428467,0.866632,5216.50085449,0.866632,4543.68713379
0.883298,5384.70428467,0.883298,5384.70428467,0.883298,5384.70428467,0.883298,5384.70428467,0.883298,5247.22412109,0.883298,4547.68890381
0.899964,5384.70428467,0.899964,5384.70428467,0.899964,5384.70428467,0.899964,5384.70428467,0.899964,5241.15692139,0.899964,4549.7543335
0.91663,5384.70428467,0.91663,5384.70428467,0.91663,5384.70428467,0.91663,5384.70428467,0.91663,5212.36999512,0.91663,4543.68713379
0.933296,5384.70428467,0.933296,5382.63885498,0.933296,5384.70428467,0.933296,5384.70428467,0.933296,5232.89520264,0.933296,4555.95062256
0.949962,5384.70428467,0.949962,5384.70428467,0.949962,5384.70428467,0.949962,5384.70428467,0.949962,5230.82977295,0.949962,4543.68713379
0.966628,5384.70428467,0.966628,5386.76971436,0.966628,5384.70428467,0.966628,5384.70428467,0.966628,5222.69714355,0.966628,4543.68713379
0.983294,5386.76971436,0.983294,5386.76971436,0.983294,5384.70428467,0.983294,5384.70428467,0.983294,5228.76434326,0.983294,4541.6217041
0.99996,5384.70428467,0.99996,5384.70428467,0.99996,5384.70428467,0.99996,5384.70428467,0.99996,5232.89520264,0.99996,4553.88519287
1.016626,5386.76971436,1.016626,5384.70428467,1.016626,5384.70428467,1.016626,5384.70428467,1.016626,5208.23913574,1.016626,4564.21234131
1.033292,5384.70428467,1.033292,5384.70428467,1.033292,5384.70428467,1.033292,5384.70428467,1.033292,5228.76434326,1.033292,4533.35998535
1.049958,5384.70428467,1.049958,5384.70428467,1.049958,5384.70428467,1.049958,5384.70428467,1.049958,5216.50085449,1.049958,4537.49084473
1.066624,5384.70428467,1.066624,5384.70428467,1.066624,5384.70428467,1.066624,5384.70428467,1.066624,5220.63171387,1.066624,4553.88519287
1.08329,5384.70428467,1.08329,5384.70428467,1.08329,5384.70428467,1.08329,5384.70428467,1.08329,5212.36999512,1.08329,4541.6217041
1.099956,5384.70428467,1.099956,5386.76971436,1.099956,5384.70428467,1.099956,5384.70428467,1.099956,5220.63171387,1.099956,4529.22912598
1.116622,5384.70428467,1.116622,5384.70428467,1.116622,5384.70428467,1.116622,5384.70428467,1.116622,5202.17193604,1.116622,4558.01605225
1.133288,5384.70428467,1.133288,5386.76971436,1.133288,5384.70428467,1.133288,5384.70428467,1.133288,5198.04107666,1.133288,4551.81976318
1.149954,5386.76971436,1.149954,5384.70428467,1.149954,5384.70428467,1.149954,5384.70428467,1.149954,5210.30456543,1.149954,4551.81976318
1.16662,5384.70428467,1.16662,5386.76971436,1.16662,5384.70428467,1.16662,5384.70428467,1.16662,5220.63171387,1.16662,4558.01605225
1.183286,5384.70428467,1.183286,5386.76971436,1.183286,5384.70428467,1.183286,5384.70428467,1.183286,5208.23913574,1.183286,4553.88519287
1.199952,5386.76971436,1.199952,5384.70428467,1.199952,5384.70428467,1.199952,5384.70428467,1.199952,5195.97564697,1.199952,4549.7543335
1.216618,5384.70428467,1.216618,5386.76971436,1.216618,5384.70428467,1.216618,5384.70428467,1.216618,5202.17193604,1.216618,4580.60668945
1.233284,5384.70428467,1.233284,5384.70428467,1.233284,5384.70428467,1.233284,5384.70428467,1.233284,5216.50085449,1.233284,4586.67388916
1.24995,5384.70428467,1.24995,5384.70428467,1.24995,5382.63885498,1.24995,5384.70428467,1.24995,5198.04107666,1.24995,4574.41040039
1.266616,5386.76971436,1.266616,5384.70428467,1.266616,5384.70428467,1.266616,5384.70428467,1.266616,5206.30279541,1.266616,4566.14868164
1.283282,5386.76971436,1.283282,5384.70428467,1.283282,5384.70428467,1.283282,5386.76971436,1.283282,5206.30279541,1.283282,4564.21234131
1.299948,5384.70428467,1.299948,5384.70428467,1.299948,5384.70428467,1.299948,5384.70428467,1.299948,5200.10650635,1.299948,4527.16369629
1.316614,5384.70428467,1.316614,5384.70428467,1.316614,5384.70428467,1.316614,5384.70428467,1.316614,5208.23913574,1.316614,4519.03106689
1.33328,5386.76971436,1.33328,5384.70428467,1.33328,5384.70428467,1.33328,5384.70428467,1.33328,5200.10650635,1.33328,4535.42541504
1.349946,5384.70428467,1.349946,5384.70428467,1.349946,5384.70428467,1.349946,5384.70428467,1.349946,5200.10650635,1.349946,4543.68713379
1.366612,5384.70428467,1.366612,5384.70428467,1.366612,5384.70428467,1.366612,5384.70428467,1.366612,5208.23913574,1.366612,4547.68890381
1.383278,5384.70428467,1.383278,5384.70428467,1.383278,5386.76971436,1.383278,5384.70428467,1.383278,5214.4354248,1.383278,4551.81976318
1.399944,5384.70428467,1.399944,5384.70428467,1.399944,5384.70428467,1.399944,5384.70428467,1.399944,5214.4354248,1.399944,4555.95062256
1.41661,5384.70428467,1.41661,5386.76971436,1.41661,5384.70428467,1.41661,5384.70428467,1.41661,5220.63171387,1.41661,4555.95062256
1.433276,5384.70428467,1.433276,5384.70428467,1.433276,5384.70428467,1.433276,5384.70428467,1.433276,5228.76434326,1.433276,4558.01605225
1.449942,5384.70428467,1.449942,5384.70428467,1.449942,5384.70428467,1.449942,5384.70428467,1.449942,5226.69891357,1.449942,4558.01605225
1.466608,5384.70428467,1.466608,5384.70428467,1.466608,5384.70428467,1.466608,5384.70428467,1.466608,5210.30456543,1.466608,4553.88519287
1.483274,5384.70428467,1.483274,5384.70428467,1.483274,5384.70428467,1.483274,5386.76971436,1.483274,5212.36999512,1.483274,4547.68890381
1.49994,5384.70428467,1.49994,5384.70428467,1.49994,5384.70428467,1.49994,5384.70428467,1.49994,5216.50085449,1.49994,4551.81976318
1.516606,5384.70428467,1.516606,5384.70428467,1.516606,5384.70428467,1.516606,5384.70428467,1.516606,5212.36999512,1.516606,4551.81976318
1.533272,5384.70428467,1.533272,5384.70428467,1.533272,5384.70428467,1.533272,5384.70428467,1.533272,5173.38500977,1.533272,4553.88519287
1.549938,5386.76971436,1.549938,5386.76971436,1.549938,5386.76971436,1.549938,5384.70428467,1.549938,5179.58129883,1.549938,4555.95062256
1.566604,5384.70428467,1.566604,5384.70428467,1.566604,5384.70428467,1.566604,5384.70428467,1.566604,5191.8447876,1.566604,4582.67211914
1.58327,5384.70428467,1.58327,5384.70428467,1.58327,5384.70428467,1.58327,5386.76971436,1.58327,5181.64672852,1.58327,4564.21234131
1.599936,5384.70428467,1.599936,5386.76971436,1.599936,5384.70428467,1.599936,5384.70428467,1.599936,5167.31781006,1.599936,4566.14868164
1.616602,5384.70428467,1.616602,5386.76971436,1.616602,5384.70428467,1.616602,5384.70428467,1.616602,5167.31781006,1.616602,4566.14868164
1.633268,5384.70428467,1.633268,5384.70428467,1.633268,5384.70428467,1.633268,5384.70428467,1.633268,5163.18695068,1.633268,4564.21234131
1.649934,5384.70428467,1.649934,5384.70428467,1.649934,5386.76971436,1.649934,5384.70428467,1.649934,5177.51586914,1.649934,4539.55627441
1.6666,5384.70428467,1.6666,5386.76971436,1.6666,5384.70428467,1.6666,5384.70428467,1.6666,5175.45043945,1.6666,4549.7543335
1.683266,5384.70428467,1.683266,5384.70428467,1.683266,5384.70428467,1.683266,5384.70428467,1.683266,5173.38500977,1.683266,4560.08148193
1.699932,5384.70428467,1.699932,5384.70428467,1.699932,5384.70428467,1.699932,5384.70428467,1.699932,5171.31958008,1.699932,4549.7543335
1.716598,5384.70428467,1.716598,5384.70428467,1.716598,5384.70428467,1.716598,5384.70428467,1.716598,5193.91021729,1.716598,4547.68890381
1.733264,5384.70428467,1.733264,5384.70428467,1.733264,5384.70428467,1.733264,5384.70428467,1.733264,5187.84301758,1.733264,4551.81976318
1.74993,5384.70428467,1.74993,5386.76971436,1.74993,5384.70428467,1.74993,5384.70428467,1.74993,5171.31958008,1.74993,4545.62347412
1.766596,5384.70428467,1.766596,5384.70428467,1.766596,5384.70428467,1.766596,5384.70428467,1.766596,5189.77935791,1.766596,4553.88519287
1.783262,5384.70428467,1.783262,5384.70428467,1.783262,5384.70428467,1.783262,5386.76971436,1.783262,5195.97564697,1.783262,4558.01605225
1.799928,5384.70428467,1.799928,5384.70428467,1.799928,5384.70428467,1.799928,5384.70428467,1.799928,5181.64672852,1.799928,4553.88519287
1.816594,5384.70428467,1.816594,5386.76971436,1.816594,5384.70428467,1.816594,5384.70428467,1.816594,5175.45043945,1.816594,4553.88519287
1.83326,5384.70428467,1.83326,5384.70428467,1.83326,5384.70428467,1.83326,5384.70428467,1.83326,5181.64672852,1.83326,4551.81976318
1.849926,5384.70428467,1.849926,5384.70428467,1.849926,5384.70428467,1.849926,5382.63885498,1.849926,5189.77935791,1.849926,4560.08148193
